PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
2.3,0,1.5,0.4,0,789,184,2200
0.1,0,0.2,0.1,0,1191,207,2670
0.6,0.5,0.8,1.2,0,1340,207,3020
0,0,0,0,0,1373,386,2993.333333
0,0,0,0,0,1213,389,3100
0,0,0,0,0,1030,283,2980
0,0,0,0,0,869,0,2500
0,0,0,0,0,742,144,2113.333333
0,0,0,0,0,699,182,1816.666667
0,0,0,0,0,695,152,1680
0,0,0,0,0,695,0,1560
0,0,0,0,0,738,155,1473.333333
0,0,0,0,0,669,191,1396.666667
0,0,0,0,0,640,93,1326.666667
0,0,0,0,0,576,0,1226.666667
0,0,0,0,0,533,161,1100
0,0,0,0,0,524,249,1036.666667
0,0,0,0,0,447,37,990
0,0,0,0,0,558,0,996.6666667
0,0,0,0,0,580,43,980
0,0,0,0,0,531,402,1230
1,3.5,0.2,1.3,0.4,537,402,1276.666667
7.4,8.8,7.7,7.9,7.4,477,373,1360
13,15.8,8,8.8,7.4,539,186,1483.333333
3.4,3,1.8,0.6,0.6,537,142,1603.333333
1.5,1.5,0.5,0.9,0.2,677,280,1710
1.4,4,0.7,2.9,0.6,681,367,1786.666667
16,27.5,9.3,18.7,9.8,710,420,1876.666667
11.6,8.6,11,10.9,9.6,930,421,2143.333333
12.3,15.5,13.3,11.9,11.4,1104,704,2733.333333
18.3,23.2,15.3,20.3,15.8,1496,992,3703.333333
4.8,6.1,4.2,2.3,2.8,2068,1107,4496.666667
0.1,0.2,0.2,0.3,0.2,2775,1649,5433.333333
0.2,0.2,0.2,0.2,0,3010,1897,6460
0.2,0.2,0,0,0.2,3071,1863,7300
0,0.1,0,0.1,0,2913,1809,7090
0,0,0,0,0,2397,1381,6560
0,0,0,0,0,1646,1082,5080
0,0,0,0,0,1592,854,4240
0.2,0.8,0.5,1.4,0.8,1332,831,3736.666667
1.6,2.4,4.2,4.3,5.4,1192,775,3583.333333
10.6,8.5,13,10.6,11.4,1145,671,3466.666667
12.3,10.5,11.7,9.7,11.2,1038,560,3306.666667
6.1,7.9,3.5,3.7,2.6,1121,654,3366.666667
1,1.5,0.7,0.7,0,1241,797,3530
1.2,1.8,1.2,2,0.4,1347,777,3753.333333
1.7,1.3,2.3,0.9,1.2,1554,764,3906.666667
0.3,0,0.2,0,2,1622,744,3946.666667
0,0,0,0,0,1478,797,3966.666667
0,0,0,0,0,1436,708,3810
0,0,0,0,0,1265,640,3490
0,0,0,0,0,1180,642,3193.333333
0,0,0,0,0,1101,469,2926.666667
0,0,0,0,0,1080,530,2870
0,0,0,0,0,938,532,2723.333333
0,0,0,0,0,969,510,2650
0,0,0,0,0,860,439,2573.333333
0,0,0,0,0,851,457,2586.666667
0,0,0,0,0,815,460,2516.666667
0,0,0,0,0,734,462,2426.666667
0,0,0,0,0,784,420,2313.333333
0,0,0,0,0,682,413,2186.666667
0,0,0,0,0,673,414,2060
0,0,0,0,0,701,414,1963.333333
0,0,0,0,0,685,413,1903.333333
0,0,0,0,0,694,413,1880
0,0,0,0,0,681,412,1853.333333
0,0,0,0,0,629,412,1813.333333
0,0,0,0,0,589,411,1733.333333
0,0,0,0,0,500,407,1666.666667
0,0,0,0,0,569,393,1553.333333
0,0,0,0,0,619,316,1506.666667
0,0,0,0,0,577,262,1440
0,0,0,0,0,470,206,1420
2.1,3.3,0.2,0.8,0,537,196,1250
15.8,8.6,13.2,11.4,12.4,566,164,1293.333333
20.5,8.5,18.2,14.2,12.6,607,32,1250
4,3.6,0.3,0.9,0,842,211,1260
0,0.5,0,0,0,1123,231,1476.666667
0.3,0.1,0,0,0,1267,343,1886.666667
0,0.1,0,0,0,1454,354,2133.333333
